id,category,url
1,Construction Contractor,https://www.fyple.com/category/construction-contractor/
2,Health Beauty,https://www.fyple.com/category/health-beauty/
3,Shopping Service,https://www.fyple.com/category/shopping-service/
4,Automotive,https://www.fyple.com/category/automotive/
5,Home Garden,https://www.fyple.com/category/home-garden/
6,Organisations Government,https://www.fyple.com/category/organisations-government/
7,Food Drink,https://www.fyple.com/category/food-drink/
8,Business Service,https://www.fyple.com/category/business-service/
9,Legal Financial,https://www.fyple.com/category/legal-financial/
10,Sport Recreation,https://www.fyple.com/category/sport-recreation/
11,Computer Electronics,https://www.fyple.com/category/computer-electronics/
12,Arts Entertainment,https://www.fyple.com/category/arts-entertainment/
13,Travel Accommodation,https://www.fyple.com/category/travel-accommodation/
14,Industry Agriculture,https://www.fyple.com/category/industry-agriculture/
15,Real Estate,https://www.fyple.com/category/real-estate/
16,Education,https://www.fyple.com/category/education/
17,Pet Animal,https://www.fyple.com/category/pet-animal/
18,Landmark,https://www.fyple.com/category/landmark/
