id,category,subcategory,url
1,Construction Contractor,Construction Services,https://www.fyple.com/category/construction-contractor/construction-service/
2,Construction Contractor,Builders,https://www.fyple.com/category/construction-contractor/builder/
3,Construction Contractor,Central Heating & Air Conditioning,https://www.fyple.com/category/construction-contractor/central-heating-air-conditioning/
4,Construction Contractor,Building Materials,https://www.fyple.com/category/construction-contractor/building-material/
5,Construction Contractor,Landscaping,https://www.fyple.com/category/construction-contractor/landscaping/
6,Construction Contractor,Plumbers,https://www.fyple.com/category/construction-contractor/plumber/
7,Construction Contractor,Garden & Outdoor,https://www.fyple.com/category/construction-contractor/garden-outdoor/
8,Construction Contractor,Locksmiths,https://www.fyple.com/category/construction-contractor/locksmith/
9,Construction Contractor,Roofing,https://www.fyple.com/category/construction-contractor/roofing/
10,Construction Contractor,Flooring,https://www.fyple.com/category/construction-contractor/flooring/
11,Construction Contractor,Decorators,https://www.fyple.com/category/construction-contractor/decorator/
12,Construction Contractor,Electricians,https://www.fyple.com/category/construction-contractor/electrician/
13,Construction Contractor,Painting,https://www.fyple.com/category/construction-contractor/painting/
14,Construction Contractor,Water Damage Restoration Services,https://www.fyple.com/category/construction-contractor/water-damage-restoration-service/
15,Construction Contractor,Engineers,https://www.fyple.com/category/construction-contractor/engineer/
16,Construction Contractor,Graphic Designers,https://www.fyple.com/category/construction-contractor/graphic-designer/
17,Construction Contractor,Handymans,https://www.fyple.com/category/construction-contractor/handyman/
18,Construction Contractor,Pressure Washing Services,https://www.fyple.com/category/construction-contractor/pressure-washing-service/
19,Construction Contractor,Equipment Rental Agencies,https://www.fyple.com/category/construction-contractor/equipment-rental-agency/
20,Construction Contractor,Architectural Services,https://www.fyple.com/category/construction-contractor/architectural-service/
21,Construction Contractor,Welders,https://www.fyple.com/category/construction-contractor/welder/
22,Construction Contractor,Land Surveyors,https://www.fyple.com/category/construction-contractor/land-surveyor/
23,Construction Contractor,Woodworkers,https://www.fyple.com/category/construction-contractor/woodworker/
24,Construction Contractor,Sewing Machine Repair Services,https://www.fyple.com/category/construction-contractor/sewing-machine-repair-service/
25,Construction Contractor,Engravers,https://www.fyple.com/category/construction-contractor/engraver/
26,Construction Contractor,Hose Suppliers,https://www.fyple.com/category/construction-contractor/hose-supplier/
27,Construction Contractor,Dump Truck Services,https://www.fyple.com/category/construction-contractor/dump-truck-service/
28,Construction Contractor,Sandblasting Services,https://www.fyple.com/category/construction-contractor/sandblasting-service/
29,Construction Contractor,Carpenters,https://www.fyple.com/category/construction-contractor/carpenter/
30,Construction Contractor,Sharpening Services,https://www.fyple.com/category/construction-contractor/sharpening-service/
31,Construction Contractor,Elevator Services,https://www.fyple.com/category/construction-contractor/elevator-service/
32,Construction Contractor,Embroideries,https://www.fyple.com/category/construction-contractor/embroidery/
33,Construction Contractor,Lamination Services,https://www.fyple.com/category/construction-contractor/lamination-service/
34,Construction Contractor,Graffiti Removal Services,https://www.fyple.com/category/construction-contractor/graffiti-removal-service/
35,Construction Contractor,Welding Gas Suppliers,https://www.fyple.com/category/construction-contractor/welding-gas-supplier/
36,Construction Contractor,Surveyors,https://www.fyple.com/category/construction-contractor/surveyor/
37,Construction Contractor,Blueprint Services,https://www.fyple.com/category/construction-contractor/blueprint-service/
38,Construction Contractor,Laser Cutting Services,https://www.fyple.com/category/construction-contractor/laser-cutting-service/
39,Construction Contractor,Blacksmiths,https://www.fyple.com/category/construction-contractor/blacksmith/
40,Construction Contractor,Laser Equipment Suppliers,https://www.fyple.com/category/construction-contractor/laser-equipment-supplier/
41,Construction Contractor,Water Jet Cutting Services,https://www.fyple.com/category/construction-contractor/water-jet-cutting-service/
42,Construction Contractor,Metal Polishing Services,https://www.fyple.com/category/construction-contractor/metal-polishing-service/
43,Construction Contractor,Barrel Suppliers,https://www.fyple.com/category/construction-contractor/barrel-supplier/
44,Construction Contractor,Fur Services,https://www.fyple.com/category/construction-contractor/fur-service/
45,Construction Contractor,Glass Etching Services,https://www.fyple.com/category/construction-contractor/glass-etching-service/
46,Construction Contractor,Soil Testing Services,https://www.fyple.com/category/construction-contractor/soil-testing-service/
47,Construction Contractor,Helium Gas Suppliers,https://www.fyple.com/category/construction-contractor/helium-gas-supplier/
48,Construction Contractor,Metal Detecting Equipment Suppliers,https://www.fyple.com/category/construction-contractor/metal-detecting-equipment-supplier/
49,Construction Contractor,Basket Suppliers,https://www.fyple.com/category/construction-contractor/basket-supplier/
50,Construction Contractor,Furriers,https://www.fyple.com/category/construction-contractor/furrier/
51,Construction Contractor,Glaziers,https://www.fyple.com/category/construction-contractor/glazier/
52,Health Beauty,Doctors and Clinics,https://www.fyple.com/category/health-beauty/doctor-and-clinic/
53,Health Beauty,Health Services,https://www.fyple.com/category/health-beauty/health-service/
54,Health Beauty,Dentists,https://www.fyple.com/category/health-beauty/dentist/
55,Health Beauty,Beauty Salons,https://www.fyple.com/category/health-beauty/beauty-salon/
56,Health Beauty,Hair,https://www.fyple.com/category/health-beauty/hair/
57,Health Beauty,Pharmaceuticals ,https://www.fyple.com/category/health-beauty/pharmaceutical/
58,Health Beauty,Eye Care,https://www.fyple.com/category/health-beauty/eye-care/
59,Health Beauty,Alternative Medicines,https://www.fyple.com/category/health-beauty/alternative-medicine/
60,Health Beauty,Laboratories,https://www.fyple.com/category/health-beauty/laboratory/
61,Health Beauty,Nail Salons,https://www.fyple.com/category/health-beauty/nail-salon/
62,Health Beauty,Spas,https://www.fyple.com/category/health-beauty/spa/
63,Health Beauty,Diet Centers,https://www.fyple.com/category/health-beauty/diet-center/
64,Health Beauty,Counselors,https://www.fyple.com/category/health-beauty/counselor/
65,Health Beauty,Cosmetics Stores,https://www.fyple.com/category/health-beauty/cosmetic-store/
66,Health Beauty,Residential Care Homes,https://www.fyple.com/category/health-beauty/residential-care-home/
67,Health Beauty,Vitamin & Supplements Stores,https://www.fyple.com/category/health-beauty/vitamin-supplement-store/
68,Health Beauty,Skin Care,https://www.fyple.com/category/health-beauty/skin-care/
69,Health Beauty,Body Piercing Shops,https://www.fyple.com/category/health-beauty/body-piercing-shop/
70,Health Beauty,Blood Donation Centers,https://www.fyple.com/category/health-beauty/blood-donation-center/
71,Health Beauty,Tattoo Removal Services,https://www.fyple.com/category/health-beauty/tattoo-removal-service/
72,Health Beauty,Aromatherapy Services,https://www.fyple.com/category/health-beauty/aromatherapy-service/
73,Health Beauty,Aromatherapy Supply Stores,https://www.fyple.com/category/health-beauty/aromatherapy-supply-store/
74,Health Beauty,Blood Testing Services,https://www.fyple.com/category/health-beauty/blood-testing-service/
75,Health Beauty,Ear Piercing Services,https://www.fyple.com/category/health-beauty/ear-piercing-service/
76,Health Beauty,Pathologists,https://www.fyple.com/category/health-beauty/pathologist/
77,Shopping Service,Clothing and Accessories,https://www.fyple.com/category/shopping-service/clothing-and-accessory/
78,Shopping Service,Specialty Stores,https://www.fyple.com/category/shopping-service/specialty-store/
79,Shopping Service,Shopping Venues,https://www.fyple.com/category/shopping-service/shopping-venue/
80,Shopping Service,"Holidays, Weddings & Special Occasions",https://www.fyple.com/category/shopping-service/holiday-wedding-special-occasion/
81,Shopping Service,Convenience stores,https://www.fyple.com/category/shopping-service/convenience-store/
82,Shopping Service,Gifts,https://www.fyple.com/category/shopping-service/gift/
83,Shopping Service,Jewelleries,https://www.fyple.com/category/shopping-service/jewellery/
84,Shopping Service,Books,https://www.fyple.com/category/shopping-service/book/
85,Shopping Service,Hobbies & Crafts,https://www.fyple.com/category/shopping-service/hobby-craft/
86,Shopping Service,Discount & Used Merchandises,https://www.fyple.com/category/shopping-service/discount-used-merchandise/
87,Shopping Service,Antiques & Collectibles,https://www.fyple.com/category/shopping-service/antique-collectible/
88,Shopping Service,Florists,https://www.fyple.com/category/shopping-service/florist/
89,Shopping Service,Fashion Accessories,https://www.fyple.com/category/shopping-service/fashion-accessory/
90,Shopping Service,Toys & Games,https://www.fyple.com/category/shopping-service/toy-game/
91,Shopping Service,Offices,https://www.fyple.com/category/shopping-service/office/
92,Shopping Service,Baby Products & Services,https://www.fyple.com/category/shopping-service/baby-product-service/
93,Shopping Service,Online & Catalog Shopping,https://www.fyple.com/category/shopping-service/online-catalog-shopping/
94,Shopping Service,Packaging Supply Stores,https://www.fyple.com/category/shopping-service/packaging-supply-store/
95,Shopping Service,Warehouses,https://www.fyple.com/category/shopping-service/warehouse/
96,Shopping Service,Watch Repair Services,https://www.fyple.com/category/shopping-service/watch-repair-service/
97,Shopping Service,Warehousing Services,https://www.fyple.com/category/shopping-service/warehousing-service/
98,Shopping Service,Perfume Stores,https://www.fyple.com/category/shopping-service/perfume-store/
99,Shopping Service,Plastic Bag Suppliers,https://www.fyple.com/category/shopping-service/plastic-bag-supplier/
